tweet_id,favorite_count,retweet_count
843856843873095681,19889,4157
843604394117681152,15634,2473
843235543001513987,19892,5380
842846295480000512,14174,3306
842765311967449089,6278,1174
842535590457499648,16864,3163
842163532590374912,22650,5241
842115215311396866,12989,2750
841833993020538882,0,13511
841680585030541313,23970,7129
841439858740625411,11693,3300
841320156043304961,18353,5007
841314665196081154,14690,4220
841077006473256960,21284,4874
840761248237133825,0,1617
840728873075638272,0,14553
840698636975636481,163,2
840696689258311684,11441,889
840632337062862849,8394,1617
840370681858686976,15303,4169
840268004936019968,17831,5196
839990271299457024,12500,2063
839549326359670784,25495,7037
839290600511926273,0,132
839239871831150596,25150,5909
838952994649550848,18310,3652
838921590096166913,10388,1851
838916489579200512,0,31
838831947270979586,0,9988
838561493054533637,10212,1228
838476387338051585,20902,4327
838201503651401729,0,9144
838150277551247360,1562,300
838085839343206401,134,1
838083903487373313,16413,2829
837820167694528512,31739,7128
837482249356513284,3594,405
837471256429613056,11945,2057
837110210464448512,15035,2173
836989968035819520,11912,2107
836753516572119041,18062,4249
836677758902222849,11814,2018
836648853927522308,0,505
836397794269200385,0,24974
836380477523124226,13865,2744
836260088725786625,19875,3966
836001077879255040,17818,3875
835685285446955009,0,7395
835574547218894849,16593,3287
835536468978302976,0,1537
835309094223372289,0,19082
835297930240217089,15391,2733
835264098648616962,7202,1537
835246439529840640,1985,63
835172783151792128,24503,5283
835152434251116546,20890,2754
834931633769889797,10065,1485
834786237630337024,20163,5097
834574053763584002,12766,2301
834477809192075265,0,9734
834458053273591808,9007,1543
834209720923721728,19181,4313
834167344700198914,14802,3351
834089966724603904,9410,1960
834086379323871233,12196,2036
833863086058651648,12585,2200
833826103416520705,17028,3481
833732339549220864,0,203
833479644947025920,13952,1879
833124694597443584,18931,4428
832998151111966721,12384,2004
832769181346996225,0,38
832757312314028032,15793,3312
832682457690300417,11100,2657
832645525019123713,2720,483
832636094638288896,14840,2551
832397543355072512,11209,2034
832369877331693569,16025,2910
832273440279240704,10619,2137
832215909146226688,0,5691
832215726631055365,0,8552
832088576586297345,58,2
832040443403784192,0,8783
832032802820481025,16714,4288
831939777352105988,22409,5639
831926988323639298,319,34
831911600680497154,25746,5949
831670449226514432,9757,1683
831650051525054464,6657,1782
831552930092285952,8430,2151
831322785565769729,8726,1435
831315979191906304,6155,1036
831309418084069378,11052,2255
831262627380748289,11106,1882
830956169170665475,7474,1373
830583320585068544,62114,15348
830173239259324417,0,5220
830097400375152640,9118,2681
829878982036299777,0,4583
829861396166877184,11477,1786
829501995190984704,29775,9734
829449946868879360,9836,1853
829141528400556032,22827,6739
829011960981237760,50105,15038
828801551087042563,0,3149
828770345708580865,23990,5376
828708714936930305,34089,10273
828650029636317184,8916,1232
828409743546925057,6015,1075
828408677031882754,7223,1182
828381636999917570,11799,2053
